ID,ParameterA,ParameterB,ParameterC,ParameterD,ParameterE,ParameterF,ParameterY
1,0.357,0.566,0.592,0.314,0.833,0.935,0.78
2,0.24,0.244,0.432,0.335,0.38,0.768,0.36
3,0.973,0.839,0.897,0.64,0.778,0.936,0.99
4,0.746,0.249,0.443,0.743,0.726,0.927,0.78
5,0.635,0.432,0.583,0.322,0.63,0.509,0.61
6,0.947,0.367,0.814,0.454,0.952,0.939,0.95
7,0.812,0.728,0.567,0.582,0.823,0.89,0.88
8,0.727,0.754,0.556,0.198,0.747,0.67,0.76
9,0.697,0.697,0.585,0.679,0.985,0.752,0.93
10,0.707,0.435,0.297,0.075,0.406,0.962,0.51
11,0.81,0.787,0.65,0.344,0.613,0.933,0.85
12,0.884,0.947,0.578,0.853,0.7,0.945,0.97
13,0.944,0.658,0.607,0.756,0.088,0.947,0.74
14,0.789,0.719,0.388,0.262,0.883,0.597,0.75
15,0.842,0.802,0.265,0.123,0.736,0.963,0.8
16,0.539,0.704,0.681,0.075,0.629,0.857,0.69
17,0.646,0.684,0.437,0.052,0.689,0.925,0.7
18,0.953,0.861,0.535,0.071,0.97,0.89,0.93
19,0.714,0.377,0.514,0.365,0.745,0.918,0.74
20,0.798,0.849,0.365,0.309,0.819,0.89,0.85
21,0.702,0.863,0.612,0.357,0.829,0.889,0.9
22,0.714,0.559,0.322,0.183,0.472,0.667,0.53
23,0.755,0.597,0.578,0.187,0.767,0.925,0.82
24,0.938,0.836,0.714,0.629,0.391,0.937,0.88
25,0.801,0.648,0.691,0.588,0.291,0.962,0.78
26,0.476,0.439,0.579,0.267,0.786,0.933,0.75
27,0.949,0.698,0.611,0.389,0.176,0.889,0.74
28,0.627,0.606,0.497,0.103,0.777,0.672,0.65
29,0.835,0.901,0.168,0.729,0.286,0.934,0.74
30,0.867,0.616,0.708,0.523,0.798,0.926,0.9
31,0.931,0.899,0.468,0.3,0.707,0.804,0.87
32,0.996,0.949,0.701,0.938,0.026,0.951,0.91
33,0.927,0.962,0.633,0.854,0.908,0.934,0.98
34,0.747,0.747,0.481,0.154,0.252,0.916,0.61
35,0.642,0.76,0.64,0.295,0.905,0.736,0.84
36,0.805,0.688,0.288,0.449,0.63,0.657,0.71
37,0.447,0.337,0.755,0.163,0.818,0.9,0.7
38,0.878,0.811,0.225,0.507,0.413,0.922,0.74
39,0.48,0.321,0.399,0.284,0.965,0.649,0.65
40,0.77,0.615,0.406,0.098,0.926,0.673,0.74
41,0.498,0.219,0.698,0.284,0.861,0.684,0.69
42,0.585,0.278,0.568,0.093,0.674,0.656,0.53
43,0.976,0.991,0.721,0.585,0.226,0.931,0.92
44,0.949,0.545,0.722,0.306,0.57,0.788,0.84
45,0.242,0.126,0.644,0.067,0.345,0.648,0.25
46,0.85,0.832,0.603,0.543,0.86,0.944,0.95
47,0.804,0.922,0.295,0.475,0.477,0.937,0.79
48,0.736,0.653,0.691,0.464,0.841,0.663,0.83
49,0.607,0.421,0.662,0.21,0.922,0.882,0.8
50,0.976,0.579,0.563,0.391,0.946,0.886,0.94
51,0.557,0.435,0.858,0.182,0.896,0.933,0.83
52,0.526,0.476,0.615,0.23,0.833,0.659,0.67
53,0.995,0.941,0.798,0.941,0.831,0.658,0.99
54,0.927,0.754,0.759,0.812,0.377,0.952,0.88
55,0.902,0.25,0.758,0.764,0.228,0.935,0.75
56,0.733,0.513,0.458,0.858,0.878,0.445,0.8
57,0.762,0.661,0.763,0.489,0.965,0.915,0.93
58,0.553,0.399,0.334,0.145,0.657,0.663,0.52
59,0.102,0.078,0.621,0.021,0.893,0.913,0.41
